latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,type,species,sumAtRisk,sumCases,sumDeaths
4.960494,7.073826,Africa,Nigeria,Rivers,Ikwere,Exact,07-29-2015,09-24-2015,Confirmed,Influenza - Avian,Domestic, Chicken,4000,1500,1500
4.85572,7.09774,Africa,Nigeria,Rivers,Umuoko Aluu,Exact,07-29-2015,08-17-2015,Confirmed,Influenza - Avian,Domestic, Chicken,1850,350,350
23.8366,120.287,Asia,Taiwan (Province of China),Taiwan Sheng,"Dacheng township, Changhua county",Exact,07-29-2015,08-11-2015,Confirmed,Influenza - Avian,Domestic, Chicken,50600,8207,8207
5.363664,-4.097576,Africa,CÃƒÂ´te d'Ivoire,District autonome de Abidjan,MarchÃƒÂ© Gesco Yopougon,Exact,07-28-2015,01-19-2016,Confirmed,Influenza - Avian,Domestic, Chicken,800,10,0
-24.4167,26.15,Africa,Botswana,Kgatleng,Mochudi,Exact,07-28-2015,09-11-2015,Confirmed,Newcastle Disease,Domestic, Chicken,31,5,1
4.92129,6.90532,Africa,Nigeria,Rivers,Umuoko Aluu,Exact,07-27-2015,08-04-2015,Confirmed,Influenza - Avian,Domestic, Chicken,1850,350,350
6.48383,3.73583,Africa,Nigeria,Lagos,Lakowe,Exact,07-27-2015,08-04-2015,Confirmed,Influenza - Avian,Domestic, Chicken,7700,6786,6786
5.356089,-3.940261,Africa,CÃƒÂ´te d'Ivoire,District autonome de Abidjan,MarchÃƒÂ© Akouedo village,Exact,07-23-2015,01-19-2016,Confirmed,Influenza - Avian,Domestic, Chicken,400,1,0
5.444604,-4.018409,Africa,CÃƒÂ´te d'Ivoire,District autonome de Abidjan,MarchÃƒÂ© Abobo BC,Exact,07-23-2015,01-19-2016,Confirmed,Influenza - Avian,Domestic, Chicken,600,2,0
5.309194,-3.96219,Africa,CÃƒÂ´te d'Ivoire,District autonome de Abidjan,MarchÃƒÂ© Anoumabo Marcory,Exact,07-23-2015,01-19-2016,Confirmed,Influenza - Avian,Domestic, Chicken,500,1,0
5.307288,-3.964239,Africa,CÃƒÂ´te d'Ivoire,District autonome de Abidjan,Grand Sans fil Marcory,Exact,07-23-2015,01-19-2016,Confirmed,Influenza - Avian,Domestic, Chicken,400,5,0
5.417623,-4.009333,Africa,CÃƒÂ´te d'Ivoire,District autonome de Abidjan,MarchÃƒÂ© Abobo Kennedy,Exact,07-23-2015,01-19-2016,Confirmed,Influenza - Avian,Domestic, Chicken,500,1,0
5.329935,-3.975179,Africa,CÃƒÂ´te d'Ivoire,District autonome de Abidjan,Grand marchÃƒÂ© Marcory,Exact,07-23-2015,01-19-2016,Confirmed,Influenza - Avian,Domestic, Chicken,950,4,0
5.357001,-3.928194,Africa,CÃƒÂ´te d'Ivoire,District autonome de Abidjan,MarchÃƒÂ© Akouedo AttiÃƒÂ©,Exact,07-23-2015,01-19-2016,Confirmed,Influenza - Avian,Domestic, Chicken,350,2,0
-21.2815,27.4725,Africa,Botswana,North East,"Tati Siding, Francistown",Centroid Admin1,07-22-2015,09-11-2015,Confirmed,Newcastle Disease,Domestic, Chicken,588,303,300
33.089297,35.469822,Asia,Israel,Northern,AVIVIM,Exact,07-19-2015,11-15-2015,Confirmed,Newcastle Disease,Domestic, Chicken,2200,0,0
5.686376,-3.194947,Africa,CÃƒÂ´te d'Ivoire,Comoe,"Bassam, Modeste, Aboisso",Centroid Admin2,07-17-2015,08-25-2015,Confirmed,Influenza - Avian,Domestic, Chicken,27652,20286,20286
-20.6667,27.4167,Africa,Botswana,North East,Masunga,Exact,07-15-2015,09-11-2015,Confirmed,Newcastle Disease,Domestic, Chicken,14,2,2
-21.1736,27.5125,Africa,Botswana,North East,Kgari,Exact,07-15-2015,09-11-2015,Confirmed,Newcastle Disease,Domestic, Chicken,370,22,20
-19.9833,23.4167,Africa,Botswana,Ngamiland,New Mall,Exact,07-14-2015,09-11-2015,Confirmed,Newcastle Disease,Domestic, Chicken,28,3,1
33.032723,35.321941,Asia,Israel,Northern,ELQOSH,Exact,07-12-2015,11-15-2015,Confirmed,Newcastle Disease,Domestic, Chicken,3800,0,0
-19.9833,23.4167,Africa,Botswana,Ngamiland,Maun,Exact,07-09-2015,09-11-2015,Confirmed,Newcastle Disease,Domestic, Chicken,21,13,11
-21.9758,27.84,Africa,Botswana,Central,Selibe Phikwe,Exact,07-07-2015,09-11-2015,Confirmed,Newcastle Disease,Domestic, Chicken,20,3,3
-21.9758,27.84,Africa,Botswana,Central,Letlhakane,Exact,07-07-2015,09-11-2015,Confirmed,Newcastle Disease,Domestic, Chicken,93,14,7
32.4114280156,35.0373150588,Asia,Israel,Haifa,BAQA -JATT,Exact,06-15-2015,09-16-2015,Confirmed,Newcastle Disease,Domestic, Chicken,12,9,9
-22.3755,26.7102,Africa,Botswana,Central,Basimane,Exact,06-15-2015,09-11-2015,Confirmed,Newcastle Disease,Domestic, Chicken,51,28,28
32.906406,35.395525,Asia,Israel,Northern,HAZON,Exact,06-08-2015,11-15-2015,Confirmed,Newcastle Disease,Domestic, Chicken,2986,0,0
7.7811,-4.9547,Africa,CÃƒÂ´te d'Ivoire,Vallee Du Bandama,"Amanibo 2, Bouake",Exact,05-18-2015,09-01-2015,Confirmed,Influenza - Avian,Domestic, Chicken,4000,3644,1280
12.991605,7.635769,Africa,Nigeria,Katsina,Katsina,Exact,04-25-2015,09-19-2015,Confirmed,Influenza - Avian,Domestic, Chicken,81200,260,260
32.982229,35.326154,Asia,Israel,Northern,PEQIÃ¢â‚¬â„¢IN HADASHA,Exact,04-22-2015,11-15-2015,Confirmed,Newcastle Disease,Domestic, Chicken,2300,0,0
13.093282,7.273221,Africa,Nigeria,Katsina,Jibiya,Exact,04-22-2015,09-19-2015,Confirmed,Influenza - Avian,Domestic, Chicken,1950,650,650
33.085025,35.312372,Asia,Israel,Northern,SHETULA,Exact,04-16-2015,11-15-2015,Confirmed,Newcastle Disease,Domestic, Chicken,4387,0,0
32.217223,34.867958,Asia,Israel,Central District,BENE ZIYYON,Exact,04-10-2015,11-15-2015,Confirmed,Newcastle Disease,Domestic, Chicken,23500,0,0
33.008433,35.227742,Asia,Israel,Northern,EN YAÃ¢â‚¬â„¢AQOV,Exact,03-25-2015,11-15-2015,Confirmed,Newcastle Disease,Domestic, Chicken,2800,0,0
33.032723,35.321941,Asia,Israel,Northern,ELQOSH,Exact,03-24-2015,11-15-2015,Confirmed,Newcastle Disease,Domestic, Chicken,2700,0,0
13.093282,7.372097,Africa,Nigeria,Katsina,Jibiya,Exact,03-08-2015,09-19-2015,Confirmed,Influenza - Avian,Domestic, Chicken,3000,30,30
33.067038,35.188138,Asia,Israel,Northern,YAÃ¢â‚¬â„¢ARA,Exact,03-05-2015,11-15-2015,Confirmed,Newcastle Disease,Domestic, Chicken,2200,0,0
33.008433,35.227742,Asia,Israel,Northern,EN YAÃ¢â‚¬â„¢AQOV,Exact,03-04-2015,11-15-2015,Confirmed,Newcastle Disease,Domestic, Chicken,2200,0,0
33.008433,35.227742,Asia,Israel,Northern,EN YAÃ¢â‚¬â„¢AQOV,Exact,03-01-2015,11-15-2015,Confirmed,Newcastle Disease,Domestic, Chicken,3700,0,0
12.922012,5.108914,Africa,Nigeria,Sokoto,Bodinga,Exact,02-24-2015,09-19-2015,Confirmed,Influenza - Avian,Domestic, Chicken,5000,1280,1280
